"","x"
"1",3.32024995740969
"2",3.67368227583214
"3",4.00419109916536
"4",4.39051803149064
"5",4.39534701802749
"6",4.56460129583698
"7",5.16452859149893
"8",5.20213356621956
"9",5.25801231687439
"10",5.62807828188223
"11",5.65399285938186
"12",5.90237363891922
"13",5.90485040826597
"14",6.04725781838992
"15",6.13509988396959
"16",6.15893090320172
"17",6.62640378378453
"18",6.65593785882651
"19",6.9049994007684
"20",7.00632278823805
"21",7.15975776079592
"22",7.16882142847284
"23",7.33158743185511
"24",7.34619958104889
"25",7.48860430442862
"26",7.62611925753231
"27",7.72592168492324
"28",7.79470093761921
"29",7.84081383465152
"30",8.03286256956052
"31",8.18596746930676
"32",8.22612938510467
"33",8.27085055601229
"34",8.71657372851145
"35",8.91576627438771
"36",9.03310083399256
"37",9.19003645296922
"38",9.24169271810352
"39",9.37749694204241
"40",9.58916020298125
"41",9.7162991521595
"42",9.84571123128367
"43",10.0594513210382
"44",10.0843912133204
"45",10.1939512457058
"46",10.2787040092076
"47",10.3033700356413
"48",10.3385991186809
"49",10.3749788677806
"50",10.7279136016579
"51",10.7951896018948
"52",10.8029654318932
"53",10.913952086605
"54",11.0698296563382
"55",11.1040051411321
"56",11.2022765340039
"57",11.2528582938259
"58",11.530945605914
"59",12.0579604606001
"60",12.3609259174277
"61",12.6391807640731
"62",12.7049777351026
"63",12.9481020603169
"64",12.9907893948441
"65",13.0035499155264
"66",13.0498303633565
"67",13.1681077544141
"68",13.2621542583329
"69",13.3358313164656
"70",13.4234949367344
"71",13.894901452549
"72",14.0344980909728
"73",14.4249336864706
"74",14.5735811552884
"75",15.0393215896879
"76",15.4337929879489
"77",15.502042996971
"78",15.7624768798183
"79",16.0796900468786
"80",16.3572917748492
"81",16.4275850878471
"82",16.7338866871124
"83",16.9219381944795
"84",17.0064784187413
"85",17.122756255488
"86",17.2449465439176
"87",17.7003117839912
"88",17.8602994093735
"89",18.0000912669499
"90",18.2081325067679
"91",18.2856298239582
"92",18.7625766564911
"93",18.9742622486128
"94",20.2210917373903
"95",20.5554036015297
"96",23.0905922560778
"97",23.2819567638529
"98",26.1223529289516
"99",26.2113817819087
"100",34.5217632601874
