"means","Freq"
"1","1244",1
"2","1316",1
"3","1369",1
"4","1380",1
"5","1410",1
"6","1438",1
"7","1446",1
"8","1447",1
"9","1474",1
"10","1493",1
"11","1500",1
"12","1506",1
"13","1564",1
"14","1600",1
"15","1609",1
"16","1631",1
"17","1634",1
"18","1659",1
"19","1669",1
"20","1675",1
"21","1684",1
"22","1699",2
"23","1714",1
"24","1723",1
"25","1734",1
"26","1739",1
"27","1744",1
"28","1745",1
"29","1755",2
"30","1763",1
"31","1764",1
"32","1765",1
"33","1770",1
"34","1771",1
"35","1772",1
"36","1803",1
"37","1814",1
"38","1816",1
"39","1833",1
"40","1835",1
"41","1847",1
"42","1849",1
"43","1850",1
"44","1856",1
"45","1858",2
"46","1864",1
"47","1866",1
"48","1871",1
"49","1875",1
"50","1879",1
"51","1883",1
"52","1901",1
"53","1908",1
"54","1919",2
"55","1920",1
"56","1929",1
"57","1934",1
"58","1945",1
"59","1946",1
"60","1950",1
"61","1954",1
"62","1955",1
"63","1959",1
"64","1969",1
"65","1970",1
"66","1972",1
"67","1973",1
"68","1976",2
"69","1980",1
"70","1982",2
"71","1984",1
"72","1992",2
"73","1993",1
"74","1997",1
"75","2006",1
"76","2008",1
"77","2012",2
"78","2019",1
"79","2024",2
"80","2035",1
"81","2036",1
"82","2039",2
"83","2047",1
"84","2057",1
"85","2060",1
"86","2062",2
"87","2064",1
"88","2065",1
"89","2066",1
"90","2074",1
"91","2081",1
"92","2088",2
"93","2091",1
"94","2092",1
"95","2093",1
"96","2095",1
"97","2096",1
"98","2097",1
"99","2101",1
"100","2102",1
"101","2106",1
"102","2112",1
"103","2118",1
"104","2121",1
"105","2122",2
"106","2124",1
"107","2127",1
"108","2131",2
"109","2132",1
"110","2134",1
"111","2138",1
"112","2142",1
"113","2145",2
"114","2151",1
"115","2156",1
"116","2160",1
"117","2162",2
"118","2167",1
"119","2169",1
"120","2172",1
"121","2174",1
"122","2178",1
"123","2179",1
"124","2181",1
"125","2186",1
"126","2192",2
"127","2193",1
"128","2194",2
"129","2195",1
"130","2196",1
"131","2201",1
"132","2204",2
"133","2209",2
"134","2210",2
"135","2211",1
"136","2214",1
"137","2217",1
"138","2220",2
"139","2223",1
"140","2229",1
"141","2235",1
"142","2236",1
"143","2237",1
"144","2238",2
"145","2240",1
"146","2241",2
"147","2247",1
"148","2248",1
"149","2250",1
"150","2259",2
"151","2261",1
"152","2263",2
"153","2264",1
"154","2265",1
"155","2269",1
"156","2270",1
"157","2271",1
"158","2275",1
"159","2276",1
"160","2278",1
"161","2279",1
"162","2280",1
"163","2284",1
"164","2290",1
"165","2294",1
"166","2296",1
"167","2297",1
"168","2298",1
